Tijdstempel,What's your age ?,My mother tongue is...,Where do you live ?,Who is your (main) broker,What is your FIRE target date?,My main strategy is investing in... (you can only select one),... but my portfolio also contains... (you can select multiple),How big is your emergency fund?,How big is your portfolio ? (Not including your home),What is your FIRE target (portfolio size),"How much do you save each month? (choose closest)(Netto savings rate. Or in other words, how much of the money you get every month can you save?",What is your savings rate ?,I answer these questions as a....
21-7-2021 18:06:08,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 35 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,18.000-20.000€,Between 200 and 250k€,Between 600 and 700k€,Above 4000€,Less then 85% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 18:06:48,I am in my 20's,...Dutch,Brussels Capital Region,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Single shares or bonds, TAK21 Pension saving",10.000-12.000€,Between 75 and 100k€,Between 2.2M€ and 2.4M€,Up to 1000€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:06:51,I am in my 20's,...Dutch,Province of West Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,14.000-16.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 1000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:06:58,I am in my 20's,...Dutch,Province of West Flanders,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",8.000-10.000€,Between 0 and 25k€,Between 700 and 800k€,Up to 800€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:07:06,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",More then 20.000€,Between 25 and 50k€,Between 600 and 700k€,Up to 1000€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:09:23,I am in my 20's,...Dutch,Province of West Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), Equity REIT's (investment company investing in Real Estate)",2.000-4.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:12:43,I am in my 30's,Spanish,Province of Flemish Brabant,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds, TAK23 Pension saving",8.000-10.000€,Between 150 and 200k€,Between 1.4M€ and 1.6M€,Up to 400€,Less then 15% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 18:16:14,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Groepsverzekering,4.000-6.000€,Between 25 and 50k€,Between 550 and 600k€,Up to 3000€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:17:31,I am in my 20's,...Dutch,Province of West Flanders,KBC,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",18.000-20.000€,Between 200 and 250k€,Between 1M€ and 1.2M€,Up to 800€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:17:45,I am younger then 20 years of age,...Dutch,Province of Flemish Brabant,Deutsche Bank,Before 55 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",2.000-4.000€,Between 450 and 500k€,Between 2.2M€ and 2.4M€,,,single person trying to reach FIRE (1 person)
21-7-2021 18:20:50,I am in my 30's,...Dutch,Province of Limburg,DeGiro,Before 55 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",4.000-6.000€,Between 50 and 75k€,Between 900 and 1M€,Up to 700€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:24:38,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),More then 20.000€,Between 100 and 125k€,Between 1.4M€ and 1.6M€,Up to 1000€,Less then 50% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 18:25:54,I am in my 30's,...Dutch,Province of Limburg,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",2.000-4.000€,Between 50 and 75k€,Between 1M€ and 1.2M€,Up to 2000€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 18:26:54,I am in my 20's,....French,Province of Liège,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,12.000-14.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 500€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:34:27,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,18.000-20.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 1000€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:34:43,I am in my 20's,...Dutch,Province of Flemish Brabant,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual share funds, TAK21 Pension saving, TAK23 Pension saving",14.000-16.000€,Between 0 and 25k€,Between 100 and 125k€,Up to 300€,Less then 15% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:35:42,I am in my 30's,....French,Province of Flemish Brabant,Keytrade,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), TAK23 Pension saving",18.000-20.000€,Between 75 and 100k€,Between 1.2M€ and 1.4M€,Up to 1500€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 18:36:21,I am in my 20's,...Dutch,Province of Antwerp,"Just starting out, still have to choose one",Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,0 - 2.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 100€,Less then 5% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:37:02,I am in my 30's,....French,Province of Walloon Brabant,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds, TAK21 Pension saving",16.000-18.000€,Between 50 and 75k€,Between 1M€ and 1.2M€,Up to 900€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 18:50:55,I am in my 20's,...Dutch,Province of Antwerp,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",10.000-12.000€,Between 25 and 50k€,Between 200 and 250k€,Up to 600€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:51:14,I am in my 30's,...Dutch,Province of West Flanders,DeGiro,Before 50 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc...",14.000-16.000€,Between 300 and 350k€,Between 700 and 800k€,Up to 1000€,Less then 40% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 18:53:05,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 40 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",2.000-4.000€,Between 25 and 50k€,Between 3M€ and 3.5M€,Up to 1500€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:56:30,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,4.000-6.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 1000€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:57:28,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual share funds, Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",2.000-4.000€,Between 0 and 25k€,Between 800 and 900k€,Up to 1000€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:57:35,I am in my 30's,....French,Province of Flemish Brabant,KBC,I don't think I will FIRE before I officially retire (67),Physical real estate (house - apartment - garage - agricultural - etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), TAK21 Pension saving",14.000-16.000€,Between 125 and 150k€,Between 1.4M€ and 1.6M€,Up to 500€,Less then 25% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 18:59:44,I am in my 40's,Portuguese,Province of East Flanders,Interactive Brokers,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),More then 20.000€,Between 500 and 550k€,Between 1.4M€ and 1.6M€,Up to 1700€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 19:03:17,I am in my 30's,...Dutch,Province of Flemish Brabant,BinckBank,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Options, Equity REIT's (investment company investing in Real Estate), Single shares or bonds",More then 20.000€,Between 500 and 550k€,Between 1.4M€ and 1.6M€,Up to 2600€,Less then 60% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 19:05:01,I am in my 30's,....French,Province of Walloon Brabant,DeGiro,Before 35 years of age,Crypto currency,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),0 - 2.000€,Between 250 and 300k€,Between 400 and 450k€,Up to 1800€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 19:07:00,I am in my 30's,...Dutch,Province of Flemish Brabant,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 100 and 125k€,Between 600 and 700k€,Up to 1800€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 19:07:17,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,2.000-4.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 900€,Less then 70% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 19:07:44,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Mutual share funds",4.000-6.000€,Between 25 and 50k€,Between 4.5M€ and 5M€,Up to 1000€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
